thr1,thr2,slope,beta,full,last,combined
0.5,0.9,10,1.1,0.5838393031392651,0.5059010690970414,0.5604578329265979
0.5,0.9,20,0.9,0.5276735112009382,1.0,0.6693714578406567
0.5,0.9,20,0.95,0.5456404251151968,1.0,0.6819482975806377
0.5,0.9,20,1.0,0.562164464811926,0.9973445368843571,0.6927184864336553
0.5,0.9,20,1.05,0.5720413722706357,0.8385762377968551,0.6520018319285015
0.5,0.9,20,1.1,0.577362394789411,0.7050628722844191,0.6156725380379133
0.5,0.9,40,0.9,0.5263232444921332,1.0,0.6684262711444933
0.5,0.9,40,0.95,0.544043468951681,1.0,0.6808304282661767
0.5,0.9,40,1.0,0.5605003961965184,0.9999999118617937,0.6923502508961009
0.5,0.9,40,1.05,0.5702353947462543,0.8408963411386131,0.6514336786639618
0.5,0.9,40,1.1,0.5751473212511429,0.7071067188634247,0.6147351405348274
0.5,0.9,60,0.9,0.5269655837286378,1.0,0.6688759086100464
0.5,0.9,60,0.95,0.5445058034884402,1.0,0.6811540624419081
0.5,0.9,60,1.0,0.5608232054497588,1.0,0.6925762438148311
0.5,0.9,60,1.05,0.5709283181873563,0.8408964152537148,0.6519187473072638
